23	97	8	21	14	29	33	85	44	16	98	26	56	73	71	69	86	51	10	45	17	84	98	68	99	40	36	57	12	82	81	53	11	35	7	59	57	47	99	30	58	78	99	54	6	50	33	86	16	43
41	72	20	77	16	26	89	6	71	74	47	96	82	99	99	22	53	76	39	39	50	27	89	77	45	50	84	68	82	75	15	100	15	53	63	97	43	45	41	39	59	7	11	7	52	53	33	19	89	69
29	57	12	55	89	98	48	75	89	69	21	17	92	21	19	2	40	29	46	52	41	83	35	62	24	78	15	93	80	62	93	78	34	99	5	22	90	27	23	66	12	74	41	73	95	99	57	60	35	10
42	37	13	28	58	89	53	1	26	92	53	17	45	69	50	69	27	9	42	64	20	86	13	84	61	66	7	78	49	64	82	78	76	37	16	30	82	18	98	47	53	46	40	3	98	14	52	87	15	85
5	11	23	25	41	50	45	14	41	50	4	30	97	59	52	96	86	88	50	89	17	90	11	25	100	78	26	93	51	18	62	66	18	82	60	100	17	82	88	31	57	17	5	70	78	43	43	60	19	90
12	68	99	9	62	19	42	84	15	15	4	48	57	46	23	10	20	33	97	4	21	3	42	23	81	81	58	5	75	40	19	59	15	79	19	65	25	63	90	94	69	100	43	73	10	56	61	60	77	94
7	17	100	30	84	98	67	72	28	67	17	48	4	56	59	86	92	64	10	70	77	1	4	82	18	62	88	81	4	16	5	37	14	74	45	59	98	85	39	51	22	56	90	13	29	29	35	51	4	81
2	82	33	15	78	80	79	6	71	37	1	98	67	78	30	84	76	55	5	55	37	72	3	78	83	34	72	73	66	96	23	4	30	12	58	12	87	90	99	96	9	98	85	32	56	86	95	7	71	36
74	35	27	27	32	23	59	90	25	69	11	29	85	4	33	20	77	2	64	44	90	55	40	13	74	5	13	73	7	66	72	66	4	5	6	69	47	71	43	76	47	94	85	2	68	64	18	70	99	77
6	14	22	17	11	50	9	36	42	16	89	11	93	43	79	9	54	54	36	27	32	92	76	78	82	68	62	48	100	98	76	38	79	91	87	57	16	62	58	36	73	84	87	16	13	3	71	94	78	47
